L1,L2,L3,L4,
hunting_dog,sporting_dog,pointer,vizsla,
hunting_dog,sporting_dog,pointer,german_short-haired_pointer,
hunting_dog,sporting_dog,setter,english_setter,
hunting_dog,sporting_dog,setter,gordon_setter,
hunting_dog,sporting_dog,setter,irish_setter,
hunting_dog,sporting_dog,spaniel,irish_water_spaniel,
hunting_dog,sporting_dog,spaniel,springer_spaniel,welsh_springer_spaniel
hunting_dog,sporting_dog,spaniel,springer_spaniel,english_springer
hunting_dog,sporting_dog,spaniel,brittany_spaniel,
hunting_dog,sporting_dog,spaniel,cocker_spaniel,
hunting_dog,sporting_dog,spaniel,sussex_spaniel,
hunting_dog,sporting_dog,retriever,golden_retriever,
hunting_dog,sporting_dog,retriever,chesapeake_bay_retriever,
hunting_dog,sporting_dog,retriever,curly-coated_retriever,
hunting_dog,sporting_dog,retriever,flat-coated_retriever,
hunting_dog,sporting_dog,retriever,labrador_retriever,
hunting_dog,dachshund,sausage_dog,,
hunting_dog,terrier,australian_terrier,,
hunting_dog,terrier,wire-haired_fox_terrier,,
hunting_dog,terrier,soft-coated_wheaten_terrier,,
hunting_dog,terrier,lakeland_terrier,,
hunting_dog,terrier,dandie_dinmont,,
hunting_dog,terrier,airedale,,
hunting_dog,terrier,lhasa,,
hunting_dog,terrier,yorkshire_terrier,,
hunting_dog,terrier,west_highland_white_terrier,,
hunting_dog,terrier,schnauzer,giant_schnauzer,
hunting_dog,terrier,schnauzer,miniature_schnauzer,
hunting_dog,terrier,schnauzer,standard_schnauzer,
hunting_dog,terrier,bullterrier,staffordshire_bullterrier,
hunting_dog,terrier,bullterrier,american_staffordshire_terrier,
hunting_dog,terrier,norfolk_terrier,,
hunting_dog,terrier,cairn,,
hunting_dog,terrier,kerry_blue_terrier,,
hunting_dog,terrier,scotch_terrier,,
hunting_dog,terrier,boston_bull,,
hunting_dog,terrier,bedlington_terrier,,
hunting_dog,terrier,irish_terrier,,
hunting_dog,terrier,silky_terrier,,
hunting_dog,terrier,norwich_terrier,,
hunting_dog,terrier,tibetan_terrier,,
hunting_dog,terrier,border_terrier,,
hunting_dog,courser,,,
hunting_dog,hound_dog,irish_wolfhound,,
hunting_dog,hound_dog,scottish_deerhound,,
hunting_dog,hound_dog,black-and-tan_coonhound,,
hunting_dog,hound_dog,english_foxhound,,
hunting_dog,hound_dog,weimaraner,,
hunting_dog,hound_dog,otterhound,,
hunting_dog,hound_dog,bloodhound,,
hunting_dog,hound_dog,norwegian_elkhound,,
hunting_dog,hound_dog,saluki,,
hunting_dog,hound_dog,afghan_hound,,
hunting_dog,hound_dog,greyhound,whippet,
hunting_dog,hound_dog,greyhound,italian_greyhound,
hunting_dog,hound_dog,beagle,,
hunting_dog,hound_dog,basset,,
hunting_dog,hound_dog,bluetick,,
hunting_dog,hound_dog,redbone,,
hunting_dog,hound_dog,ibizan_hound,,
hunting_dog,hound_dog,foxbound,english_foxhound,
hunting_dog,hound_dog,foxbound,walker_hound,
hunting_dog,rhodesian_ridgeback,,,
poodle_dog,miniature_poodle,,,
poodle_dog,toy_poodle,,,
poodle_dog,standard_poodle,,,
brabancon_griffon,,,,
working_dog,great_dane,,,
working_dog,shepherd_sheepdog,old_english_sheepdog,,
working_dog,shepherd_sheepdog,bouvier_des_flandres,,
working_dog,shepherd_sheepdog,rottweiler,,
working_dog,shepherd_sheepdog,komondor,,
working_dog,shepherd_sheepdog,collie,,
working_dog,shepherd_sheepdog,border_collie,,
working_dog,shepherd_sheepdog,belgian_sheepdog,malinois,
working_dog,shepherd_sheepdog,belgian_sheepdog,groenendael,
working_dog,shepherd_sheepdog,shetland_sheepdog,,
working_dog,shepherd_sheepdog,kelpie,,
working_dog,shepherd_sheepdog,briard,,
working_dog,shepherd_sheepdog,german_shepherd,,
working_dog,watchdog,schipperke,,
working_dog,watchdog,pinscher,doberman,
working_dog,watchdog,pinscher,affenpinscher,
working_dog,watchdog,pinscher,miniature_pinscher,
working_dog,watchdog,kuvasz,,
working_dog,sledge_dog,siberian_husky,,
working_dog,sledge_dog,malamute,,
working_dog,boxer,,,
working_dog,bull_mastiff,,,
working_dog,sennenhunde,entlebucher,,
working_dog,sennenhunde,bernese_mountain_dog,,
working_dog,sennenhunde,greater_swiss_mountain_dog,,
working_dog,sennenhunde,appenzeller,,
working_dog,saint_bernard,,,
working_dog,tibetan_mastiff,,,
working_dog,french_bulldog,,,
spitz,pomeranian,,,
spitz,keeshond,,,
spitz,chow,,,
spitz,samoyed,,,
mexican_hairless,,,,
newfoundland,,,,
basenji,,,,
leonberg,,,,
pug,,,,
great_pyrenees,,,,
toy_dog,toy_spaniel,english_toy_spaniel,blenheim_spaniel,
toy_dog,toy_spaniel,papillon,,
toy_dog,pekinese,,,
toy_dog,maltese_dog,,,
toy_dog,toy_terrier,,,
toy_dog,japanese_spaniel,,,
toy_dog,shih-tzu,,,
toy_dog,chihuahua,,,